method,category,anomaly_type,n_good,n_anomaly,auroc,f1_max,f1_threshold,precision_at_f1,recall_at_f1
EfficientAD,breakfast_box,logical,102,83,0.8668792818332153,0.7738095238095238,1.2787647738528611,0.7647058823529411,0.7831325301204819
EfficientAD,breakfast_box,structural,102,90,0.6159041394335513,0.6412213740458015,0.7656003853783535,0.4883720930232558,0.9333333333333333
EfficientAD,breakfast_box,overall,102,173,0.736314178850731,0.7740492170022372,0.5742093270747506,0.6313868613138686,1.0
EfficientAD,juice_bottle,logical,94,142,0.7146388972130656,0.7553191489361702,0.73453453857096,0.6068376068376068,1.0
EfficientAD,juice_bottle,structural,94,94,0.5659800814848347,0.6691449814126395,0.8035633243508076,0.5142857142857142,0.9574468085106383
EfficientAD,juice_bottle,overall,94,236,0.6554273350162279,0.8348134991119005,0.7300770351635152,0.7186544342507645,0.9957627118644068
EfficientAD,pushpins,logical,138,91,0.5607580824972129,0.6254295532646048,1.1208202042172304,0.455,1.0
EfficientAD,pushpins,structural,138,81,0.9893540883879047,0.54,0.7024978399276733,0.3698630136986301,1.0
EfficientAD,pushpins,overall,138,172,0.7625968992248062,0.7136929460580913,0.7024978399276733,0.5548387096774193,1.0
EfficientAD,screw_bag,logical,122,137,0.6723106377886802,0.7069486404833837,0.8377531467370651,0.6030927835051546,0.8540145985401459
EfficientAD,screw_bag,structural,122,82,0.731607357057177,0.6559139784946236,0.9814791152225666,0.5865384615384616,0.7439024390243902
EfficientAD,screw_bag,overall,122,219,0.6945130623549667,0.7893738140417458,0.719638099322966,0.6753246753246753,0.9497716894977168
EfficientAD,splicing_connectors,logical,119,108,0.35605353252412075,0.6447761194029851,0.5343901515007019,0.47577092511013214,1.0
EfficientAD,splicing_connectors,structural,119,85,0.5133959466139397,0.5882352941176471,0.5197203755378723,0.4166666666666667,1.0
EfficientAD,splicing_connectors,overall,119,193,0.4253494143771498,0.7643564356435644,0.5197203755378723,0.6185897435897436,1.0
PatchCore,breakfast_box,logical,102,83,0.6381998582565556,0.6212121212121212,0.040413040408453074,0.4530386740331492,0.9879518072289156
PatchCore,breakfast_box,structural,102,90,0.6428104575163398,0.6717557251908397,0.04179264350983283,0.5116279069767442,0.9777777777777777
PatchCore,breakfast_box,overall,102,173,0.6405984359061544,0.7747747747747747,0.040413040408453074,0.6346863468634686,0.9942196531791907
PatchCore,juice_bottle,logical,94,142,0.7497003296373987,0.7513227513227513,0.0332682833043325,0.6016949152542372,1.0
PatchCore,juice_bottle,structural,94,94,0.7275916704391127,0.714859437751004,0.04516410733603029,0.5741935483870968,0.9468085106382979
PatchCore,juice_bottle,overall,94,236,0.7408943382618104,0.833922261484099,0.0332682833043325,0.7151515151515152,1.0
PatchCore,pushpins,logical,138,91,0.46225513616817965,0.56875,0.0157662789431392,0.39737991266375544,1.0
